feature,shap
z_sipri_milex_constant_2023_usd_millions,-0.3746748
z_vdem_participatory_democracy_index,0.22494821
z_acled_violence_against_civilians_events_roll6m,0.21268041
z_wdi_forcibly_displaced_people,0.19422111
z_wdi_gdp_per_capita_current_usd_roll3m,0.19361025
z_log_sipri_milex_constant_2023_usd_millions,-0.17871352
z_wdi_gdp_per_capita_current_usd,-0.13780537
z_acled_battles_fatalities_roll3m,0.11940044
z_acled_riots_fatalities_delta6m,0.11801908
z_log_acled_violence_against_civilians_events_roll6m,0.10916171
z_vdem_liberal_democracy_index_delta12m,-0.103707604
z_vdem_liberal_democracy_index,0.09597675
z_wdi_gdp_per_capita_current_usd_lag3,0.0885021
z_acled_total_events_lag6,-0.073203154
z_wdi_gdp_per_capita_current_usd_lag1,0.07150268
z_wdi_fuel_exports_pct_merchandise_exports_lag12,-0.06825262
z_wdi_military_expenditure_pct_of_gdp,-0.066210456
z_wdi_employment_to_population_ratio_15plus_total_pct,-0.06451626
z_vdem_participatory_democracy_index_delta12m,0.061794564
z_acled_violence_against_civilians_events_roll12m,0.058793105
z_sipri_milex_per_capita_constant_2023_usd_delta12m,-0.0563155
z_wdi_commercial_service_exports_current_usd_roll12m,-0.054024674
z_log_wdi_gdp_per_capita_current_usd_roll3m,0.051725667
z_wdi_employment_to_population_ratio_15plus_total_pct_lag3,-0.05059722
z_vdem_participatory_democracy_index_lag6,0.04996845
z_wdi_gdp_per_capita_current_usd_roll6m,0.0498037
z_wdi_fuel_exports_pct_merchandise_exports_roll12m,-0.046042226
z_acled_total_fatalities_lag6,-0.045363527
z_sipri_milex_per_capita_constant_2023_usd_lag3,0.045181785
z_vdem_deliberative_democracy_index_delta12m,0.044065874
z_sipri_milex_constant_2023_usd_millions_roll3m,-0.04118656
z_vdem_participatory_democracy_index_lag12,0.036201384
z_acled_protests_fatalities_roll12m,0.035743054
z_acled_admin1_count_roll6m,-0.034728687
z_log_acled_riots_events_roll3m,-0.034284737
z_acled_riots_events_delta6m,-0.03409957
z_sipri_milex_constant_2023_usd_millions_lag12,-0.033515524
z_vdem_egalitarian_democracy_index_lag1,0.032450497
z_log_wdi_employment_to_population_ratio_15plus_total_pct,-0.031369817
z_vdem_egalitarian_democracy_index_delta12m,0.030845063
z_vdem_egalitarian_democracy_index_lag6,0.030323714
z_acled_riots_events_roll3m,0.02938044
z_wdi_gdp_per_capita_current_usd_roll12m,0.029177781
z_log_acled_admin1_count_lag6,-0.02781003
z_sipri_milex_share_of_gdp_pct,-0.026772223
z_acled_violence_against_civilians_events_delta6m,-0.026717726
z_wdi_international_migrant_stock_pct_population_roll6m,-0.025427356
z_wdi_external_debt_stocks_pct_gni,0.02448275
z_ucdp_conflict_count_roll12m,0.024066174
z_vdem_electoral_democracy_index_lag12,0.023904493
z_acled_riots_fatalities_roll6m,-0.023165846
z_vdem_egalitarian_democracy_index,0.023143183
z_acled_riots_events_lag3,-0.021618139
z_wdi_external_debt_stocks_pct_gni_lag6,-0.021123074
z_log_sipri_milex_share_of_gdp_pct,-0.021081205
z_acled_total_events_delta6m,-0.020072084
z_sipri_milex_per_capita_constant_2023_usd_roll6m,0.01943354
z_wdi_gdp_per_capita_current_usd_lag6,0.018086944
z_vdem_liberal_democracy_index_roll3m,0.017847255
z_log_wdi_forcibly_displaced_people,0.017357161
z_wdi_forcibly_displaced_people_lag12,0.016718727
z_sipri_milex_per_capita_constant_2023_usd_roll3m,0.015951268
z_vdem_liberal_democracy_index_lag6,0.015662463
z_acled_violence_against_civilians_events_lag3,-0.015383692
z_wdi_fuel_exports_pct_merchandise_exports_roll6m,-0.015173443
z_acled_political_violence_events_lag1,0.0150816
is_missing_sipri,0.014650823
z_vdem_electoral_democracy_index,0.01417984
z_acled_political_violence_fatalities_lag1,-0.014131909
z_acled_violence_against_civilians_fatalities_roll12m,0.014118681
z_wdi_forcibly_displaced_people_lag1,0.0140295215
z_vdem_liberal_democracy_index_lag12,0.013928467
z_sipri_milex_constant_2023_usd_millions_delta12m,-0.013883258
z_months_since_conflict,-0.013625998
z_log_wdi_employment_to_population_ratio_15plus_total_pct_lag12,-0.01294203
z_sipri_milex_constant_2023_usd_millions_lag3,-0.012611132
z_acled_strategic_developments_events_delta6m,-0.012605328
z_sipri_milex_constant_2023_usd_millions_roll12m,-0.012528832
z_acled_admin1_count_lag12,-0.012407062
z_vdem_electoral_democracy_index_lag3,0.012401128
z_vdem_deliberative_democracy_index_roll12m,0.012007722
z_acled_protests_events_delta6m,0.011998626
z_log_sipri_milex_constant_2023_usd_millions_lag1,-0.011939134
z_acled_violence_against_civilians_fatalities_roll3m,0.011671906
z_wdi_fuel_imports_pct_merchandise_imports_roll12m,0.011592724
z_acled_population_exposure_sum_lag1,0.01151885
z_wdi_gdp_growth_annual_pct_lag1,-0.011421302
z_acled_political_violence_events_delta3m,0.011343589
z_log_acled_violence_against_civilians_events_roll12m,0.011277487
z_acled_political_violence_fatalities_delta3m,-0.011269802
z_log_wdi_external_debt_stocks_pct_gni,0.010894317
z_acled_explosions_remote_violence_fatalities_roll3m,-0.010382896
z_sipri_milex_share_of_gdp_pct_lag12,-0.0103357835
z_sipri_milex_per_capita_constant_2023_usd_roll12m,0.010331985
z_acled_battles_fatalities_roll12m,0.0102565205
z_sipri_milex_share_of_gdp_pct_delta12m,-0.010189502
z_log_wdi_fuel_exports_pct_merchandise_exports_roll12m,-0.0100341225
z_sipri_milex_share_of_gdp_pct_roll6m,0.010001954
z_acled_riots_events_roll12m,-0.009130884
z_wdi_commercial_service_exports_current_usd_delta12m,0.009107472
z_wdi_forcibly_displaced_people_delta12m,0.00908801
z_log_wdi_commercial_service_exports_current_usd_roll12m,-0.008981036
z_wdi_employment_to_population_ratio_15plus_total_pct_lag1,-0.00876016
z_log_wdi_military_expenditure_pct_of_gdp,-0.008585413
z_log_acled_population_exposure_sum_roll3m,0.008490968
z_vdem_participatory_democracy_index_roll6m,-0.008303861
z_log_acled_total_events_roll6m,-0.008297206
z_acled_admin1_count_roll3m,-0.008152463
z_acled_total_events_roll12m,-0.007874192
z_wdi_commercial_service_exports_current_usd_lag6,-0.0071058436
z_ucdp_max_intensity_level_roll12m,0.007054887
z_wdi_fuel_imports_pct_merchandise_imports_roll3m,0.0069536725
z_log_wdi_gdp_per_capita_current_usd_lag1,-0.0068198014
z_log_wdi_commercial_service_exports_current_usd_lag3,0.0066514825
z_wdi_fuel_imports_pct_merchandise_imports,0.005939206
z_acled_explosions_remote_violence_events_delta3m,-0.0059326263
z_log_acled_riots_fatalities_roll6m,-0.005732409
z_wdi_external_debt_stocks_pct_gni_delta12m,-0.0057104016
z_wdi_gdp_growth_annual_pct,0.0055458634
z_log_wdi_fuel_exports_pct_merchandise_exports_lag12,-0.005523704
z_sipri_milex_share_of_gdp_pct_lag3,-0.005452481
z_wdi_gdp_per_capita_current_usd_lag12,-0.005408204
z_wdi_government_expense_pct_gdp,-0.0053320564
z_sipri_milex_per_capita_constant_2023_usd,-0.0052703754
z_sipri_milex_constant_2023_usd_millions_lag1,-0.0052491645
z_acled_total_events_delta3m,-0.005228007
z_sipri_milex_share_of_gdp_pct_lag1,-0.005155784
z_acled_explosions_remote_violence_events_roll12m,-0.004970528
z_log_sipri_milex_per_capita_constant_2023_usd,-0.004642481
z_vdem_egalitarian_democracy_index_roll3m,-0.0044743624
z_wdi_military_expenditure_pct_of_gdp_delta12m,-0.0043760417
z_acled_political_violence_events_roll12m,0.004256005
z_wdi_fuel_imports_pct_merchandise_imports_lag12,0.004087505
z_log_acled_population_exposure_sum_lag3,0.004079433
z_wdi_employment_to_population_ratio_15plus_total_pct_delta12m,0.0039212774
z_log_wdi_gdp_per_capita_current_usd,-0.0038484433
z_acled_total_fatalities_delta6m,0.0038324685
z_wdi_military_expenditure_pct_of_gdp_lag3,-0.0037836167
z_acled_riots_events_delta3m,0.0037652883
z_acled_violence_against_civilians_events_lag6,-0.0036697187
z_wdi_government_expense_pct_gdp_lag6,0.0036576018
z_acled_strategic_developments_fatalities_roll12m,0.0036458136
z_log_wdi_fuel_imports_pct_merchandise_imports_roll12m,0.0036432408
z_wdi_employment_to_population_ratio_15plus_total_pct_lag12,0.0035741837
z_acled_demonstrations_events_roll6m,-0.0034471513
z_wdi_external_debt_stocks_pct_gni_roll3m,-0.003338114
z_log_wdi_fuel_imports_pct_merchandise_imports,0.0033268242
z_wdi_gdp_per_capita_current_usd_delta12m,-0.0032475416
z_acled_population_exposure_sum_roll12m,0.003189322
z_acled_population_exposure_sum_roll3m,0.0030861327
z_acled_explosions_remote_violence_fatalities_delta3m,-0.0030685887
z_log_acled_protests_events_roll3m,-0.0030664206
z_acled_demonstrations_events_delta3m,0.0030031714
z_wdi_fuel_imports_pct_merchandise_imports_delta12m,0.0029723719
z_wdi_gdp_per_capita_growth_annual_pct,-0.0027890773
z_acled_riots_events_lag1,0.0026789426
z_wdi_commercial_service_imports_current_usd_delta12m,0.0026770248
z_vdem_deliberative_democracy_index_lag6,0.0026277914
z_sipri_milex_constant_2023_usd_millions_lag6,-0.0025774094
z_wdi_fuel_exports_pct_merchandise_exports_delta12m,0.0023680169
z_acled_battles_fatalities_lag1,0.0023257802
z_wdi_fuel_imports_pct_merchandise_imports_lag6,0.0022465417
z_acled_political_violence_events_delta6m,0.0022030643
z_acled_riots_fatalities_lag1,0.0020822806
z_wdi_gdp_per_capita_growth_annual_pct_roll3m,0.0018502009
z_acled_population_exposure_sum_lag3,0.001789375
z_log_wdi_international_migrant_stock_pct_population_roll6m,0.0016884368
z_log_sipri_milex_constant_2023_usd_millions_lag12,-0.001686442
z_log_sipri_milex_constant_2023_usd_millions_roll12m,-0.0016340637
z_log_wdi_employment_to_population_ratio_15plus_total_pct_roll6m,0.0015521279
z_log_wdi_gdp_per_capita_current_usd_lag12,-0.0014887219
z_acled_population_exposure_sum_roll6m,0.0014520626
z_log_acled_population_exposure_sum_lag1,0.0013597452
z_vdem_deliberative_democracy_index_lag1,-0.0013415648
z_log_acled_strategic_developments_fatalities_roll12m,0.0013138021
z_vdem_electoral_democracy_index_lag1,-0.0012819492
z_wdi_military_expenditure_pct_of_gdp_lag12,-0.0012593108
z_acled_violence_against_civilians_fatalities_lag6,0.0012438172
z_wdi_employment_to_population_ratio_15plus_total_pct_roll6m,0.0012083636
z_vdem_electoral_democracy_index_delta12m,-0.0011940198
z_wdi_government_expense_pct_gdp_delta12m,-0.0011668787
z_wdi_government_expense_pct_gdp_roll12m,-0.0011484871
z_log_acled_total_fatalities_roll3m,-0.0011383758
z_log_wdi_military_expenditure_pct_of_gdp_roll12m,0.0010246227
z_sipri_milex_share_of_gdp_pct_roll12m,0.0010027809
z_acled_political_violence_fatalities_roll6m,-0.0010022672
z_vdem_participatory_democracy_index_lag3,0.0009960653
z_wdi_gdp_per_capita_growth_annual_pct_lag1,-0.000860458
z_wdi_government_expense_pct_gdp_lag3,0.00083669083
z_acled_battles_events_delta3m,0.00083057384
z_wdi_commercial_service_exports_current_usd_lag12,-0.00081356184
z_log_wdi_gdp_per_capita_current_usd_lag3,-0.0008046153
z_log_wdi_external_debt_stocks_pct_gni_lag6,-0.0007957438
z_ucdp_conflict_count_roll6m,0.0007387083
z_wdi_international_migrant_stock_pct_population_lag3,-0.00069458864
z_wdi_gdp_per_capita_growth_annual_pct_lag3,-0.00066818076
z_wdi_military_expenditure_pct_of_gdp_roll12m,0.0006184073
z_wdi_gdp_growth_annual_pct_delta12m,-0.0006133325
z_wdi_external_debt_stocks_pct_gni_lag3,-0.0006103726
z_acled_violence_against_civilians_fatalities_delta3m,0.0005949561
z_vdem_liberal_democracy_index_lag1,-0.00059100083
z_acled_political_violence_fatalities_delta6m,0.00055872183
z_acled_political_violence_events_roll6m,-0.000555272
z_wdi_central_government_debt_pct_gdp_delta12m,-0.0005246908
z_wdi_employment_to_population_ratio_15plus_total_pct_roll3m,0.0005140268
z_acled_demonstrations_events_lag1,-0.0005127429
z_acled_protests_fatalities_lag1,-0.00041230296
z_wdi_commercial_service_imports_current_usd_lag3,0.00024977254
any_conflict_past12m,0.00024461694
z_acled_riots_events_roll6m,0.00019529593
z_wdi_employment_to_population_ratio_15plus_total_pct_lag6,0.0001752148
z_wdi_fuel_exports_pct_merchandise_exports,0.00016738623
z_wdi_fuel_exports_pct_merchandise_exports_lag1,0.000114260176
z_acled_protests_events_roll12m,8.694774e-05
z_acled_population_exposure_sum_lag12,-5.768067e-05
is_missing_vdem,0.0
z_log_wdi_fuel_imports_pct_merchandise_imports_roll6m,0.0
z_log_wdi_fuel_imports_pct_merchandise_imports_roll3m,0.0
z_log_wdi_fuel_exports_pct_merchandise_exports_roll6m,0.0
z_log_wdi_fuel_exports_pct_merchandise_exports_roll3m,0.0
z_log_wdi_forcibly_displaced_people_roll12m,0.0
z_log_ucdp_conflict_count_roll12m,0.0
z_wdi_gdp_per_capita_growth_annual_pct_lag12,0.0
z_wdi_commercial_service_imports_current_usd,0.0
z_log_acled_violence_against_civilians_fatalities_roll12m,0.0
z_is_missing_vdem,0.0
z_log_acled_political_violence_events_roll3m,0.0
z_log_acled_political_violence_events_roll6m,0.0
z_log_acled_political_violence_events_roll12m,0.0
z_log_acled_political_violence_fatalities_roll3m,0.0
z_log_acled_political_violence_fatalities_roll6m,0.0
z_log_acled_political_violence_fatalities_roll12m,0.0
z_log_acled_demonstrations_events_roll3m,0.0
z_log_acled_demonstrations_events_roll6m,0.0
z_log_acled_demonstrations_events_roll12m,0.0
z_log_acled_demonstrations_fatalities_roll3m,0.0
z_log_acled_demonstrations_fatalities_roll6m,0.0
z_log_acled_demonstrations_fatalities_roll12m,0.0
z_log_ucdp_conflict_count_roll3m,0.0
z_log_ucdp_conflict_count_roll6m,0.0
z_log_wdi_commercial_service_exports_current_usd_roll6m,0.0
z_acled_strategic_developments_events_roll12m,0.0
z_acled_violence_against_civilians_events_roll3m,0.0
z_acled_battles_fatalities_roll6m,0.0
z_acled_explosions_remote_violence_fatalities_roll6m,0.0
z_wdi_military_expenditure_pct_of_gdp_lag6,0.0
z_acled_total_events_roll3m,0.0
z_acled_total_events_roll6m,0.0
z_acled_total_fatalities_roll3m,0.0
z_acled_total_fatalities_roll6m,0.0
z_acled_total_fatalities_roll12m,0.0
z_acled_admin1_count_roll12m,0.0
z_acled_battles_events_roll3m,0.0
z_acled_battles_events_roll6m,0.0
z_acled_battles_events_roll12m,0.0
z_wdi_gdp_growth_annual_pct_lag12,0.0
z_wdi_gdp_per_capita_growth_annual_pct_lag6,0.0
z_acled_protests_events_roll3m,0.0
z_acled_protests_events_roll6m,0.0
z_wdi_government_expense_pct_gdp_lag12,0.0
z_wdi_international_migrant_stock_pct_population_lag1,0.0
z_wdi_international_migrant_stock_pct_population_lag6,0.0
z_wdi_international_migrant_stock_pct_population_lag12,0.0
z_wdi_military_expenditure_pct_of_gdp_lag1,0.0
z_wdi_external_debt_stocks_pct_gni_lag1,0.0
z_wdi_external_debt_stocks_pct_gni_lag12,0.0
z_wdi_forcibly_displaced_people_lag3,0.0
z_wdi_forcibly_displaced_people_lag6,0.0
z_acled_strategic_developments_events_roll3m,0.0
z_acled_strategic_developments_events_roll6m,0.0
z_acled_protests_events_lag1,0.0
z_acled_protests_events_lag3,0.0
z_acled_protests_events_lag6,0.0
z_acled_protests_events_lag12,0.0
z_acled_explosions_remote_violence_fatalities_roll12m,0.0
z_acled_protests_fatalities_roll3m,0.0
z_acled_protests_fatalities_roll6m,0.0
z_acled_riots_fatalities_roll3m,0.0
z_acled_riots_fatalities_roll12m,0.0
z_acled_strategic_developments_fatalities_roll3m,0.0
z_acled_strategic_developments_fatalities_roll6m,0.0
z_acled_violence_against_civilians_fatalities_roll6m,0.0
z_acled_political_violence_events_roll3m,0.0
z_acled_political_violence_fatalities_roll3m,0.0
z_acled_explosions_remote_violence_events_roll3m,0.0
z_acled_explosions_remote_violence_events_roll6m,0.0
z_ucdp_max_intensity_level_roll6m,0.0
z_vdem_electoral_democracy_index_roll3m,0.0
z_vdem_electoral_democracy_index_roll6m,0.0
z_vdem_electoral_democracy_index_roll12m,0.0
z_vdem_liberal_democracy_index_roll6m,0.0
z_vdem_liberal_democracy_index_roll12m,0.0
z_vdem_participatory_democracy_index_roll3m,0.0
z_acled_political_violence_fatalities_roll12m,0.0
z_acled_demonstrations_events_roll3m,0.0
z_acled_demonstrations_events_roll12m,0.0
z_acled_demonstrations_fatalities_roll3m,0.0
z_acled_demonstrations_fatalities_roll6m,0.0
z_acled_demonstrations_fatalities_roll12m,0.0
z_ucdp_conflict_count_roll3m,0.0
z_acled_explosions_remote_violence_events_lag6,0.0
z_acled_explosions_remote_violence_events_lag12,0.0
z_acled_strategic_developments_events_lag3,0.0
z_acled_strategic_developments_events_lag6,0.0
z_acled_strategic_developments_events_lag12,0.0
z_acled_violence_against_civilians_events_lag1,0.0
z_wdi_fuel_exports_pct_merchandise_exports_lag3,0.0
z_wdi_fuel_exports_pct_merchandise_exports_lag6,0.0
z_wdi_fuel_imports_pct_merchandise_imports_lag1,0.0
z_wdi_fuel_imports_pct_merchandise_imports_lag3,0.0
z_wdi_gdp_growth_annual_pct_lag3,0.0
z_wdi_gdp_growth_annual_pct_lag6,0.0
z_acled_explosions_remote_violence_fatalities_lag12,0.0
z_acled_protests_fatalities_lag3,0.0
z_acled_protests_fatalities_lag6,0.0
z_acled_protests_fatalities_lag12,0.0
z_acled_riots_fatalities_lag3,0.0
z_ucdp_max_intensity_level_roll3m,0.0
z_wdi_forcibly_displaced_people_roll3m,0.0
z_wdi_forcibly_displaced_people_roll6m,0.0
z_wdi_forcibly_displaced_people_roll12m,0.0
z_wdi_fuel_exports_pct_merchandise_exports_roll3m,0.0
z_vdem_participatory_democracy_index_roll12m,0.0
z_vdem_deliberative_democracy_index_roll3m,0.0
z_vdem_deliberative_democracy_index_roll6m,0.0
